"id","altura","peso","imc","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","filhos"
"1",1,1.38,50.17,26.34,"F","PósDoc","Humanas","Não",0,2324.85,2
"2",2,1.53,56.11,23.97,"F","1ºGrau","Humanas","sim",1,2617.92,0
"3",3,1.61,59.34,22.89,"F","Mestrado","Humanas","sim",1,2740.78,2
"4",4,1.27,45.62,28.28,"F","3ºgrau","Biologicas","sim",1,3104.41,1
"5",5,1.54,56.72,23.92,"M","Doutorado","Exatas","sim",1,2512.12,2
"6",6,1.55,57.02,23.73,"F","3ºgrau","Humanas","sim",1,2379.92,2
"7",7,1.44,52.7,25.41,"M","PósDoc","Biologicas","Não",0,3310.02,0
"8",8,1.45,52.81,25.12,"F","Mestrado","Exatas","Não",0,3703.25,2
"9",9,1.44,52.74,25.43,"F","PósDoc","Biologicas","sim",1,3567.2,0
"10",10,1.41,51.44,25.87,"F","Analfabeto","Biologicas","Não",0,2492.34,1
"11",11,1.45,53.09,25.25,"F","PósDoc","Humanas","sim",1,2492.9,1
"12",12,1.4,51.01,26.03,"F","2ºGrau","Humanas","Não",0,3309.57,1
"13",13,1.42,51.89,25.73,"F","1ºGrau","Biologicas","Não",0,2947.28,0
"14",14,1.51,55.26,24.24,"F","Doutorado","Biologicas","sim",1,3088.46,0
"15",15,1.6,58.84,22.98,"F","Analfabeto","Exatas","Não",0,3085.52,1
"16",16,1.49,54.56,24.58,"M","PósDoc","Humanas","sim",1,3437.2,0
"17",17,1.45,52.96,25.19,"F","Mestrado","Exatas","Não",0,2822.01,0
"18",18,1.41,51.36,25.83,"M","1ºGrau","Humanas","Não",0,3849.53,1
"19",19,1.42,51.65,25.61,"F","Doutorado","Humanas","Não",0,2798.55,0
"20",20,1.74,64.66,21.36,"F","Mestrado","Humanas","Não",0,3555.84,1
"21",21,1.51,55.54,24.36,"F","2ºGrau","Exatas","Não",0,3267.04,2
"22",22,1.45,53.04,25.23,"M","PósDoc","Biologicas","Não",0,2825.04,1
