idLeitura,tipoMaquina,descricao,valor,metrica,dataleitura,minimo,maximo
126,IOT,"Memoria uso %",38.60,%,2020-10-20,19,26
127,IOT,"Memoria uso GB",6.10,GB,2020-10-20,19,26
128,IOT,"Memoria livre GB",9.80,GB,2020-10-20,19,26
129,IOT,"Disco uso %",57.20,%,2020-10-20,19,26
130,IOT,"Disco temperatura",33.00,°C,2020-10-20,19,26
131,IOT,"Core 1",3905.40,MHz,2020-10-20,19,26
132,IOT,"Core 1",44.00,°C,2020-10-20,19,26
133,IOT,"Core 1",13.00,%,2020-10-20,19,26
134,IOT,"Core 2",3905.40,MHz,2020-10-20,19,26
135,IOT,"Core 2",47.00,°C,2020-10-20,19,26
136,IOT,"Core 2",17.20,%,2020-10-20,19,26
137,IOT,"Core 3",3905.40,MHz,2020-10-20,19,26
138,IOT,"Core 3",43.00,°C,2020-10-20,19,26
139,IOT,"Core 3",21.90,%,2020-10-20,19,26
140,IOT,"Core 4",3905.40,MHz,2020-10-20,19,26
141,IOT,"Core 4",41.00,°C,2020-10-20,19,26
142,IOT,"Core 4",7.80,%,2020-10-20,19,26
143,IOT,"Core 5",3905.40,MHz,2020-10-20,19,26
144,IOT,"Core 5",41.00,°C,2020-10-20,19,26
145,IOT,"Core 5",14.10,%,2020-10-20,19,26
146,IOT,"Core 6",3905.40,MHz,2020-10-20,19,26
147,IOT,"Core 6",41.00,°C,2020-10-20,19,26
148,IOT,"Core 6",7.80,%,2020-10-20,19,26
149,IOT,"Memoria uso %",38.70,%,2020-10-20,19,26
150,IOT,"Memoria uso GB",6.20,GB,2020-10-20,19,26
151,IOT,"Memoria livre GB",9.80,GB,2020-10-20,19,26
152,IOT,"Disco uso %",57.20,%,2020-10-20,19,26
153,IOT,"Disco temperatura",33.00,°C,2020-10-20,19,26
154,IOT,"Core 1",3905.40,MHz,2020-10-20,19,26
155,IOT,"Core 1",42.00,°C,2020-10-20,19,26
156,IOT,"Core 1",6.80,%,2020-10-20,19,26
157,IOT,"Core 2",3905.40,MHz,2020-10-20,19,26
158,IOT,"Core 2",43.00,°C,2020-10-20,19,26
159,IOT,"Core 2",15.60,%,2020-10-20,19,26
160,IOT,"Core 3",3905.40,MHz,2020-10-20,19,26
161,IOT,"Core 3",42.00,°C,2020-10-20,19,26
162,IOT,"Core 3",7.80,%,2020-10-20,19,26
163,IOT,"Core 4",4005.50,MHz,2020-10-20,19,26
164,IOT,"Core 4",40.00,°C,2020-10-20,19,26
165,IOT,"Core 4",9.40,%,2020-10-20,19,26
166,IOT,"Core 5",4005.50,MHz,2020-10-20,19,26
167,IOT,"Core 5",40.00,°C,2020-10-20,19,26
168,IOT,"Core 5",4.70,%,2020-10-20,19,26
169,IOT,"Core 6",3905.40,MHz,2020-10-20,19,26
170,IOT,"Core 6",42.00,°C,2020-10-20,19,26
171,IOT,"Core 6",0.00,%,2020-10-20,19,26
172,IOT,"Memoria uso %",38.60,%,2020-10-20,19,26
173,IOT,"Memoria uso GB",6.20,GB,2020-10-20,19,26
174,IOT,"Memoria livre GB",9.80,GB,2020-10-20,19,26
175,IOT,"Disco uso %",57.20,%,2020-10-20,19,26
176,IOT,"Disco temperatura",33.00,°C,2020-10-20,19,26
177,IOT,"Core 1",3905.40,MHz,2020-10-20,19,26
178,IOT,"Core 1",43.00,°C,2020-10-20,19,26
179,IOT,"Core 1",8.10,%,2020-10-20,19,26
180,IOT,"Core 2",3905.40,MHz,2020-10-20,19,26
181,IOT,"Core 2",46.00,°C,2020-10-20,19,26
182,IOT,"Core 2",14.10,%,2020-10-20,19,26
183,IOT,"Core 3",3905.40,MHz,2020-10-20,19,26
184,IOT,"Core 3",43.00,°C,2020-10-20,19,26
185,IOT,"Core 3",10.90,%,2020-10-20,19,26
186,IOT,"Core 4",3905.40,MHz,2020-10-20,19,26
187,IOT,"Core 4",43.00,°C,2020-10-20,19,26
188,IOT,"Core 4",4.70,%,2020-10-20,19,26
189,IOT,"Core 5",3905.40,MHz,2020-10-20,19,26
190,IOT,"Core 5",41.00,°C,2020-10-20,19,26
191,IOT,"Core 5",3.10,%,2020-10-20,19,26
192,IOT,"Core 6",3905.40,MHz,2020-10-20,19,26
193,IOT,"Core 6",43.00,°C,2020-10-20,19,26
194,IOT,"Core 6",6.30,%,2020-10-20,19,26
195,IOT,"Memoria uso %",38.60,%,2020-10-20,19,26
196,IOT,"Memoria uso GB",6.20,GB,2020-10-20,19,26
197,IOT,"Memoria livre GB",9.80,GB,2020-10-20,19,26
198,IOT,"Disco uso %",57.20,%,2020-10-20,19,26
199,IOT,"Disco temperatura",33.00,°C,2020-10-20,19,26
200,IOT,"Core 1",4005.50,MHz,2020-10-20,19,26
201,IOT,"Core 1",42.00,°C,2020-10-20,19,26
202,IOT,"Core 1",9.90,%,2020-10-20,19,26
203,IOT,"Core 2",3905.40,MHz,2020-10-20,19,26
204,IOT,"Core 2",44.00,°C,2020-10-20,19,26
205,IOT,"Core 2",15.60,%,2020-10-20,19,26
206,IOT,"Core 3",3905.40,MHz,2020-10-20,19,26
207,IOT,"Core 3",43.00,°C,2020-10-20,19,26
208,IOT,"Core 3",17.20,%,2020-10-20,19,26
209,IOT,"Core 4",3905.40,MHz,2020-10-20,19,26
210,IOT,"Core 4",40.00,°C,2020-10-20,19,26
211,IOT,"Core 4",9.40,%,2020-10-20,19,26
212,IOT,"Core 5",3905.40,MHz,2020-10-20,19,26
213,IOT,"Core 5",40.00,°C,2020-10-20,19,26
214,IOT,"Core 5",1.60,%,2020-10-20,19,26
215,IOT,"Core 6",3905.40,MHz,2020-10-20,19,26
216,IOT,"Core 6",42.00,°C,2020-10-20,19,26
217,IOT,"Core 6",6.30,%,2020-10-20,19,26
218,IOT,"Memoria uso %",39.00,%,2020-10-20,19,26
219,IOT,"Memoria uso GB",6.20,GB,2020-10-20,19,26
220,IOT,"Memoria livre GB",9.70,GB,2020-10-20,19,26
221,IOT,"Disco uso %",57.20,%,2020-10-20,19,26
222,IOT,"Disco temperatura",33.00,°C,2020-10-20,19,26
223,IOT,"Core 1",3905.40,MHz,2020-10-20,19,26
224,IOT,"Core 1",48.00,°C,2020-10-20,19,26
225,IOT,"Core 1",42.40,%,2020-10-20,19,26
226,IOT,"Core 2",3905.40,MHz,2020-10-20,19,26
227,IOT,"Core 2",46.00,°C,2020-10-20,19,26
228,IOT,"Core 2",39.10,%,2020-10-20,19,26
229,IOT,"Core 3",3905.40,MHz,2020-10-20,19,26
230,IOT,"Core 3",46.00,°C,2020-10-20,19,26
231,IOT,"Core 3",42.20,%,2020-10-20,19,26
232,IOT,"Core 4",3905.40,MHz,2020-10-20,19,26
233,IOT,"Core 4",46.00,°C,2020-10-20,19,26
234,IOT,"Core 4",45.30,%,2020-10-20,19,26
235,IOT,"Core 5",3905.40,MHz,2020-10-20,19,26
236,IOT,"Core 5",45.00,°C,2020-10-20,19,26
237,IOT,"Core 5",37.50,%,2020-10-20,19,26
238,IOT,"Core 6",3905.40,MHz,2020-10-20,19,26
239,IOT,"Core 6",45.00,°C,2020-10-20,19,26
240,IOT,"Core 6",46.90,%,2020-10-20,19,26
241,IOT,"Memoria uso %",39.90,%,2020-10-20,19,26
242,IOT,"Memoria uso GB",6.40,GB,2020-10-20,19,26
243,IOT,"Memoria livre GB",9.60,GB,2020-10-20,19,26
244,IOT,"Disco uso %",57.20,%,2020-10-20,19,26
245,IOT,"Disco temperatura",33.00,°C,2020-10-20,19,26
246,IOT,"Core 1",3905.40,MHz,2020-10-20,19,26
247,IOT,"Core 1",45.00,°C,2020-10-20,19,26
248,IOT,"Core 1",25.30,%,2020-10-20,19,26
249,IOT,"Core 2",3905.40,MHz,2020-10-20,19,26
250,IOT,"Core 2",47.00,°C,2020-10-20,19,26
251,IOT,"Core 2",26.60,%,2020-10-20,19,26
252,IOT,"Core 3",3905.40,MHz,2020-10-20,19,26
253,IOT,"Core 3",44.00,°C,2020-10-20,19,26
254,IOT,"Core 3",32.80,%,2020-10-20,19,26
255,IOT,"Core 4",3905.40,MHz,2020-10-20,19,26
256,IOT,"Core 4",43.00,°C,2020-10-20,19,26
257,IOT,"Core 4",14.10,%,2020-10-20,19,26
258,IOT,"Core 5",3905.40,MHz,2020-10-20,19,26
259,IOT,"Core 5",51.00,°C,2020-10-20,19,26
260,IOT,"Core 5",12.50,%,2020-10-20,19,26
261,IOT,"Core 6",3905.40,MHz,2020-10-20,19,26
262,IOT,"Core 6",45.00,°C,2020-10-20,19,26
263,IOT,"Core 6",43.80,%,2020-10-20,19,26
264,IOT,"Memoria uso %",40.00,%,2020-10-20,19,26
265,IOT,"Memoria uso GB",6.40,GB,2020-10-20,19,26
266,IOT,"Memoria livre GB",9.60,GB,2020-10-20,19,26
267,IOT,"Disco uso %",57.20,%,2020-10-20,19,26
268,IOT,"Disco temperatura",33.00,°C,2020-10-20,19,26
269,IOT,"Core 1",3905.40,MHz,2020-10-20,19,26
270,IOT,"Core 1",43.00,°C,2020-10-20,19,26
271,IOT,"Core 1",7.60,%,2020-10-20,19,26
272,IOT,"Core 2",3905.40,MHz,2020-10-20,19,26
273,IOT,"Core 2",44.00,°C,2020-10-20,19,26
274,IOT,"Core 2",26.60,%,2020-10-20,19,26
275,IOT,"Core 3",3905.40,MHz,2020-10-20,19,26
276,IOT,"Core 3",43.00,°C,2020-10-20,19,26
277,IOT,"Core 3",6.30,%,2020-10-20,19,26
278,IOT,"Core 4",3905.40,MHz,2020-10-20,19,26
279,IOT,"Core 4",42.00,°C,2020-10-20,19,26
280,IOT,"Core 4",3.10,%,2020-10-20,19,26
281,IOT,"Core 5",4005.50,MHz,2020-10-20,19,26
282,IOT,"Core 5",41.00,°C,2020-10-20,19,26
283,IOT,"Core 5",1.60,%,2020-10-20,19,26
284,IOT,"Core 6",3905.40,MHz,2020-10-20,19,26
285,IOT,"Core 6",43.00,°C,2020-10-20,19,26
